Transaction_ID,ATM_ID,City,Transaction_Date,Transaction_Type,Amount_INR,Response_Code,Location_Type,Weekday,Remaining_Cash,Refill_Required,ATM_Status
TXN00066,ATM_MUM_005,Mumbai,17-03-2025 22:07,Balance Inquiry,10000,0,Rural,Monday,54490,Yes,Active
TXN00067,ATM_DEL_014,Delhi,14-06-2024 10:43,Balance Inquiry,20000,0,Semi-Urban,Friday,354362,No,Active
TXN00068,ATM_KOL_015,Kolkata,28-09-2024 01:52,Fund Transfer,15000,0,Urban,Saturday,222193,No,Active
TXN00069,ATM_BAN_008,Bangalore,26-03-2025 18:51,Cash Withdrawal,500,0,Rural,Wednesday,415299,No,Active
TXN00070,ATM_CHE_011,Chennai,29-12-2024 06:16,Balance Inquiry,10000,55,Rural,Sunday,216463,No,Down
TXN00071,ATM_DEL_010,Delhi,13-11-2024 05:27,PIN Change,5000,0,Rural,Wednesday,310299,No,Active
TXN00072,ATM_CHE_002,Chennai,06-04-2024 16:38,Mini Statement,15000,55,Rural,Saturday,474561,No,Down
TXN00073,ATM_HYD_012,Hyderabad,11-11-2024 15:36,Fund Transfer,2000,55,Rural,Monday,283957,No,Active
TXN00074,ATM_PUN_006,Pune,22-02-2024 20:48,Cash Withdrawal,2000,96,Urban,Thursday,348118,No,Down
TXN00075,ATM_KOL_012,Kolkata,21-01-2025 23:49,Cash Withdrawal,15000,0,Rural,Tuesday,465431,No,Active
TXN00076,ATM_DEL_004,Delhi,13-06-2024 12:08,Cash Deposit,2000,96,Rural,Thursday,217783,No,Active
TXN00077,ATM_PUN_013,Pune,16-12-2024 18:27,PIN Change,500,0,Urban,Monday,167059,No,Down
TXN00078,ATM_MUM_007,Mumbai,09-12-2024 02:16,Balance Inquiry,10000,0,Urban,Monday,301244,No,Down
TXN00079,ATM_BAN_011,Bangalore,04-04-2025 06:25,Fund Transfer,5000,96,Urban,Friday,170708,No,Down
TXN00080,ATM_HYD_007,Hyderabad,30-08-2024 07:55,Cash Deposit,15000,96,Semi-Urban,Friday,357884,No,Down
TXN00081,ATM_DEL_003,Delhi,12-09-2024 22:24,Cash Withdrawal,5000,0,Rural,Thursday,216155,No,Active
TXN00082,ATM_HYD_010,Hyderabad,05-09-2024 23:54,PIN Change,15000,0,Rural,Thursday,256576,No,Active
TXN00083,ATM_PUN_009,Pune,06-01-2024 14:42,Balance Inquiry,15000,0,Urban,Saturday,469385,No,Down
TXN00084,ATM_PUN_004,Pune,14-11-2024 01:07,Mini Statement,20000,0,Rural,Thursday,92648,Yes,Active
TXN00085,ATM_HYD_012,Hyderabad,09-04-2024 02:52,PIN Change,2000,96,Rural,Tuesday,460015,No,Active
TXN00086,ATM_DEL_001,Delhi,14-02-2025 18:28,Cash Withdrawal,5000,0,Rural,Friday,316419,No,Active
TXN00087,ATM_PUN_002,Pune,27-02-2025 01:01,Cash Deposit,15000,0,Urban,Thursday,223054,No,Active
TXN00088,ATM_BAN_013,Bangalore,12-07-2024 18:57,Mini Statement,2000,0,Semi-Urban,Friday,109961,No,Active
TXN00089,ATM_CHE_005,Chennai,31-12-2024 04:46,Fund Transfer,2000,0,Urban,Tuesday,300470,No,Active
TXN00090,ATM_HYD_012,Hyderabad,05-05-2024 09:31,Mini Statement,2000,51,Semi-Urban,Sunday,166903,No,Active
TXN00091,ATM_MUM_011,Mumbai,15-02-2024 05:05,Mini Statement,2000,0,Rural,Thursday,218132,No,Down
TXN00092,ATM_KOL_002,Kolkata,19-02-2024 03:54,PIN Change,10000,0,Semi-Urban,Monday,202488,No,Active
TXN00093,ATM_PUN_009,Pune,19-01-2024 18:25,PIN Change,20000,0,Semi-Urban,Friday,495308,No,Active
TXN00094,ATM_CHE_008,Chennai,10-06-2024 01:04,Mini Statement,500,0,Semi-Urban,Monday,78012,Yes,Active
TXN00095,ATM_CHE_009,Chennai,12-08-2024 02:28,Cash Withdrawal,20000,0,Semi-Urban,Monday,71881,Yes,Active
TXN00096,ATM_CHE_007,Chennai,07-02-2025 13:04,PIN Change,15000,0,Semi-Urban,Friday,230429,No,Active
TXN00097,ATM_BAN_003,Bangalore,03-12-2024 18:59,Balance Inquiry,5000,0,Rural,Tuesday,435441,No,Down
TXN00098,ATM_KOL_011,Kolkata,22-03-2024 07:32,Balance Inquiry,5000,0,Semi-Urban,Friday,419130,No,Active
TXN00099,ATM_CHE_008,Chennai,11-03-2025 10:06,PIN Change,2000,0,Rural,Tuesday,194994,No,Active
TXN00100,ATM_BAN_012,Bangalore,22-06-2024 18:32,Mini Statement,20000,51,Semi-Urban,Saturday,232961,No,Active
TXN00101,ATM_BAN_013,Bangalore,17-09-2024 15:24,Cash Withdrawal,5000,96,Semi-Urban,Tuesday,464746,No,Down
TXN00102,ATM_BAN_013,Bangalore,14-02-2025 13:03,PIN Change,1000,0,Urban,Friday,77531,Yes,Down
TXN00103,ATM_CHE_003,Chennai,17-11-2024 23:37,PIN Change,15000,0,Semi-Urban,Sunday,302419,No,Active
TXN00104,ATM_MUM_006,Mumbai,19-05-2024 22:03,Cash Deposit,500,0,Urban,Sunday,180801,No,Active
TXN00105,ATM_CHE_001,Chennai,08-01-2025 18:34,Cash Deposit,500,0,Rural,Wednesday,330375,No,Down
TXN00106,ATM_DEL_006,Delhi,23-10-2024 17:58,Fund Transfer,1000,0,Urban,Wednesday,186037,No,Active
TXN00107,ATM_HYD_015,Hyderabad,19-04-2025 04:54,Mini Statement,15000,0,Urban,Saturday,290795,No,Active
TXN00108,ATM_BAN_010,Bangalore,20-04-2024 18:32,PIN Change,1000,0,Semi-Urban,Saturday,261426,No,Active
TXN00109,ATM_MUM_011,Mumbai,26-04-2024 09:14,Mini Statement,20000,96,Rural,Friday,400767,No,Down
TXN00110,ATM_DEL_009,Delhi,22-04-2025 07:40,Fund Transfer,20000,0,Urban,Tuesday,425724,No,Down
TXN00111,ATM_CHE_004,Chennai,13-12-2024 02:03,Cash Deposit,10000,55,Semi-Urban,Friday,363673,No,Active
TXN00112,ATM_KOL_006,Kolkata,30-09-2024 07:45,Cash Withdrawal,20000,96,Semi-Urban,Monday,167875,No,Down
TXN00113,ATM_MUM_002,Mumbai,30-03-2024 11:04,Cash Withdrawal,15000,0,Rural,Saturday,382350,No,Active
TXN00114,ATM_PUN_003,Pune,23-06-2024 03:53,Balance Inquiry,500,0,Semi-Urban,Sunday,153219,No,Active
TXN00115,ATM_KOL_007,Kolkata,14-04-2024 05:01,PIN Change,10000,0,Rural,Sunday,228526,No,Active
TXN00116,ATM_HYD_006,Hyderabad,03-05-2025 15:04,Cash Deposit,15000,0,Semi-Urban,Saturday,458333,No,Active
TXN00117,ATM_PUN_009,Pune,08-05-2024 09:03,Cash Withdrawal,15000,0,Urban,Wednesday,202920,No,Active
TXN00118,ATM_PUN_008,Pune,28-01-2025 03:17,Cash Withdrawal,10000,0,Semi-Urban,Tuesday,365903,No,Active
TXN00119,ATM_PUN_015,Pune,16-07-2024 01:00,PIN Change,500,0,Rural,Tuesday,427696,No,Active
TXN00120,ATM_HYD_014,Hyderabad,17-04-2024 13:15,Fund Transfer,5000,0,Urban,Wednesday,450212,No,Active
TXN00121,ATM_PUN_011,Pune,23-01-2025 22:02,Mini Statement,500,0,Semi-Urban,Thursday,113200,No,Active
TXN00122,ATM_MUM_010,Mumbai,15-10-2024 13:37,Cash Deposit,5000,0,Urban,Tuesday,473492,No,Down
TXN00123,ATM_HYD_011,Hyderabad,02-04-2025 16:09,Fund Transfer,2000,0,Urban,Wednesday,448663,No,Active
TXN00124,ATM_CHE_015,Chennai,15-03-2024 01:02,PIN Change,15000,0,Rural,Friday,248793,No,Active
TXN00125,ATM_HYD_009,Hyderabad,09-12-2024 18:05,Mini Statement,2000,0,Urban,Monday,431301,No,Active
TXN00126,ATM_CHE_011,Chennai,10-02-2025 17:30,Cash Deposit,500,0,Rural,Monday,314792,No,Active
TXN00127,ATM_BAN_009,Bangalore,22-03-2024 00:44,Cash Deposit,15000,0,Urban,Friday,495957,No,Active
TXN00128,ATM_KOL_009,Kolkata,01-10-2024 08:54,PIN Change,10000,0,Rural,Tuesday,188305,No,Active
TXN00129,ATM_HYD_004,Hyderabad,22-07-2024 00:50,Cash Deposit,2000,0,Urban,Monday,222006,No,Down
TXN00130,ATM_MUM_011,Mumbai,22-11-2024 03:49,PIN Change,5000,0,Urban,Friday,379500,No,Down
TXN00131,ATM_CHE_010,Chennai,06-09-2024 18:56,PIN Change,15000,0,Rural,Friday,495622,No,Down
TXN00132,ATM_BAN_010,Bangalore,09-04-2024 23:01,Mini Statement,2000,0,Rural,Tuesday,88951,Yes,Active
TXN00133,ATM_PUN_002,Pune,16-04-2025 05:56,Mini Statement,15000,51,Urban,Wednesday,211129,No,Active
TXN00134,ATM_KOL_008,Kolkata,02-01-2024 07:31,Balance Inquiry,10000,0,Rural,Tuesday,143900,No,Active
TXN00135,ATM_HYD_006,Hyderabad,20-09-2024 13:59,PIN Change,1000,0,Semi-Urban,Friday,303200,No,Down
TXN00136,ATM_PUN_001,Pune,07-04-2024 14:43,Balance Inquiry,2000,0,Rural,Sunday,91011,Yes,Active
TXN00137,ATM_MUM_008,Mumbai,23-02-2024 05:57,Fund Transfer,10000,0,Urban,Friday,207743,No,Down
TXN00138,ATM_MUM_015,Mumbai,27-08-2024 00:19,Mini Statement,15000,0,Semi-Urban,Tuesday,74043,Yes,Down
TXN00139,ATM_CHE_001,Chennai,03-01-2025 19:25,Fund Transfer,20000,0,Urban,Friday,373735,No,Active
TXN00140,ATM_HYD_009,Hyderabad,30-03-2024 08:28,Cash Deposit,15000,0,Semi-Urban,Saturday,276996,No,Down
TXN00141,ATM_BAN_010,Bangalore,24-04-2024 04:08,PIN Change,500,96,Semi-Urban,Wednesday,405055,No,Down
TXN00142,ATM_BAN_001,Bangalore,29-12-2024 20:10,PIN Change,500,0,Rural,Sunday,290116,No,Down
TXN00143,ATM_DEL_013,Delhi,04-04-2025 16:23,Cash Withdrawal,2000,51,Urban,Friday,81113,Yes,Down
TXN00144,ATM_HYD_015,Hyderabad,05-05-2025 14:40,PIN Change,20000,0,Rural,Monday,142183,No,Active
TXN00145,ATM_KOL_014,Kolkata,16-01-2024 00:22,PIN Change,5000,0,Rural,Tuesday,225459,No,Active
TXN00146,ATM_MUM_005,Mumbai,12-10-2024 03:47,Mini Statement,1000,0,Semi-Urban,Saturday,159548,No,Down
TXN00147,ATM_DEL_015,Delhi,20-06-2024 18:10,Cash Withdrawal,10000,51,Rural,Thursday,82807,Yes,Active
TXN00148,ATM_MUM_010,Mumbai,15-05-2025 14:59,Fund Transfer,5000,0,Semi-Urban,Thursday,460769,No,Active
TXN00149,ATM_KOL_004,Kolkata,06-06-2024 19:28,Cash Withdrawal,15000,51,Rural,Thursday,478103,No,Active
TXN00150,ATM_PUN_003,Pune,13-12-2024 09:32,Cash Withdrawal,1000,0,Urban,Friday,50169,Yes,Active
TXN00151,ATM_PUN_014,Pune,21-04-2024 06:26,Mini Statement,500,55,Rural,Sunday,392129,No,Active
TXN00152,ATM_KOL_015,Kolkata,14-03-2025 07:09,Fund Transfer,2000,0,Semi-Urban,Friday,162846,No,Active
TXN00153,ATM_CHE_004,Chennai,13-03-2025 01:28,Cash Deposit,20000,0,Rural,Thursday,75810,Yes,Down
TXN00154,ATM_KOL_009,Kolkata,28-12-2024 14:14,Cash Withdrawal,1000,0,Semi-Urban,Saturday,288417,No,Active
TXN00155,ATM_CHE_010,Chennai,05-04-2025 21:20,Balance Inquiry,2000,0,Semi-Urban,Saturday,380392,No,Down
TXN00156,ATM_DEL_001,Delhi,11-11-2024 15:46,Balance Inquiry,2000,0,Rural,Monday,200663,No,Active
TXN00157,ATM_DEL_009,Delhi,25-02-2024 17:40,Balance Inquiry,2000,55,Semi-Urban,Sunday,176925,No,Active
TXN00158,ATM_BAN_001,Bangalore,09-06-2024 17:03,Mini Statement,2000,51,Urban,Sunday,293932,No,Down
TXN00159,ATM_KOL_010,Kolkata,07-11-2024 02:39,Balance Inquiry,500,0,Rural,Thursday,457736,No,Active
TXN00160,ATM_CHE_013,Chennai,14-03-2025 22:17,PIN Change,2000,0,Urban,Friday,221432,No,Active
TXN00161,ATM_DEL_012,Delhi,18-12-2024 18:36,PIN Change,500,0,Urban,Wednesday,168824,No,Active
TXN00162,ATM_HYD_006,Hyderabad,12-12-2024 01:45,Balance Inquiry,5000,0,Semi-Urban,Thursday,355756,No,Active
TXN00163,ATM_MUM_013,Mumbai,27-04-2024 23:19,Cash Deposit,20000,0,Urban,Saturday,360793,No,Active
TXN00164,ATM_DEL_015,Delhi,28-10-2024 07:55,Fund Transfer,5000,0,Urban,Monday,284938,No,Active
TXN00165,ATM_HYD_012,Hyderabad,04-11-2024 21:31,Cash Deposit,10000,0,Urban,Monday,197366,No,Active
TXN00166,ATM_CHE_011,Chennai,26-01-2025 00:41,Cash Deposit,500,0,Urban,Sunday,491062,No,Active
TXN00167,ATM_DEL_001,Delhi,02-03-2025 18:34,Balance Inquiry,2000,0,Rural,Sunday,423665,No,Active
TXN00168,ATM_BAN_003,Bangalore,27-01-2025 08:09,Fund Transfer,10000,51,Urban,Monday,322924,No,Down
TXN00169,ATM_BAN_004,Bangalore,15-05-2024 19:56,PIN Change,10000,0,Urban,Wednesday,245550,No,Active
TXN00170,ATM_BAN_004,Bangalore,03-04-2024 22:22,Mini Statement,10000,0,Semi-Urban,Wednesday,51960,Yes,Active
TXN00171,ATM_KOL_005,Kolkata,03-03-2024 00:29,Cash Deposit,2000,0,Urban,Sunday,316638,No,Active
TXN00172,ATM_KOL_013,Kolkata,27-03-2024 17:59,Cash Withdrawal,1000,0,Rural,Wednesday,224222,No,Active
TXN00173,ATM_DEL_013,Delhi,18-12-2024 15:14,Fund Transfer,2000,0,Urban,Wednesday,304412,No,Active
TXN00174,ATM_PUN_014,Pune,02-02-2024 16:43,Balance Inquiry,2000,96,Rural,Friday,415285,No,Active
TXN00175,ATM_DEL_008,Delhi,21-04-2024 14:36,Cash Deposit,10000,0,Semi-Urban,Sunday,253652,No,Active
TXN00176,ATM_BAN_002,Bangalore,12-08-2024 18:56,Cash Deposit,5000,0,Semi-Urban,Monday,110893,No,Active
TXN00177,ATM_HYD_015,Hyderabad,25-04-2024 19:23,Balance Inquiry,2000,0,Rural,Thursday,229329,No,Active
TXN00178,ATM_PUN_013,Pune,13-03-2024 23:03,Balance Inquiry,15000,55,Rural,Wednesday,179956,No,Active
TXN00179,ATM_BAN_011,Bangalore,22-02-2024 21:06,Cash Withdrawal,10000,0,Rural,Thursday,357185,No,Down
TXN00180,ATM_PUN_015,Pune,08-05-2024 21:02,Cash Withdrawal,1000,51,Urban,Wednesday,56798,Yes,Down
TXN00181,ATM_CHE_001,Chennai,28-09-2024 13:46,Mini Statement,10000,0,Rural,Saturday,301359,No,Active
TXN00182,ATM_PUN_009,Pune,14-12-2024 02:57,Balance Inquiry,1000,0,Urban,Saturday,364090,No,Active
TXN00183,ATM_HYD_011,Hyderabad,24-12-2024 10:56,Mini Statement,1000,0,Urban,Tuesday,397410,No,Active
TXN00184,ATM_BAN_006,Bangalore,13-12-2024 19:20,Fund Transfer,15000,0,Semi-Urban,Friday,314160,No,Active
TXN00185,ATM_PUN_010,Pune,14-01-2025 16:10,Balance Inquiry,2000,0,Urban,Tuesday,481519,No,Down
TXN00186,ATM_CHE_005,Chennai,22-06-2024 03:46,Balance Inquiry,10000,0,Rural,Saturday,357272,No,Active
TXN00187,ATM_HYD_001,Hyderabad,17-05-2024 18:56,Mini Statement,10000,0,Semi-Urban,Friday,420634,No,Active
TXN00188,ATM_HYD_010,Hyderabad,07-08-2024 20:33,Fund Transfer,10000,0,Rural,Wednesday,145242,No,Down
TXN00189,ATM_PUN_009,Pune,23-12-2024 21:43,PIN Change,2000,0,Rural,Monday,343441,No,Active
TXN00190,ATM_HYD_015,Hyderabad,29-04-2025 01:23,Balance Inquiry,2000,0,Urban,Tuesday,400236,No,Active
TXN00191,ATM_HYD_005,Hyderabad,12-11-2024 08:26,Cash Withdrawal,500,0,Urban,Tuesday,198250,No,Active
TXN00192,ATM_KOL_013,Kolkata,25-04-2025 16:54,Cash Withdrawal,1000,0,Urban,Friday,433824,No,Active
TXN00193,ATM_HYD_011,Hyderabad,20-09-2024 15:17,Cash Deposit,20000,55,Urban,Friday,214309,No,Down
TXN00194,ATM_CHE_002,Chennai,09-11-2024 15:23,Cash Withdrawal,500,0,Semi-Urban,Saturday,259705,No,Down
TXN00195,ATM_MUM_003,Mumbai,23-06-2024 04:02,Mini Statement,20000,0,Urban,Sunday,424016,No,Active
TXN00196,ATM_PUN_008,Pune,10-02-2024 00:20,PIN Change,500,0,Rural,Saturday,82083,Yes,Active
TXN00197,ATM_MUM_014,Mumbai,10-02-2025 05:04,Balance Inquiry,15000,0,Urban,Monday,371781,No,Down
TXN00198,ATM_DEL_011,Delhi,26-03-2024 13:56,Mini Statement,2000,0,Semi-Urban,Tuesday,124901,No,Active
TXN00199,ATM_MUM_003,Mumbai,14-04-2025 00:20,PIN Change,10000,0,Urban,Monday,410309,No,Active
TXN00200,ATM_PUN_012,Pune,08-05-2025 18:02,Mini Statement,500,0,Semi-Urban,Thursday,205562,No,Active
TXN00201,ATM_CHE_011,Chennai,30-12-2024 11:48,Fund Transfer,10000,0,Rural,Monday,76739,Yes,Active
TXN00202,ATM_PUN_013,Pune,19-03-2024 17:37,Mini Statement,20000,0,Urban,Tuesday,418275,No,Down
TXN00203,ATM_BAN_011,Bangalore,18-02-2024 08:38,Cash Deposit,15000,0,Semi-Urban,Sunday,415648,No,Active
TXN00204,ATM_MUM_009,Mumbai,27-02-2024 01:45,Cash Withdrawal,2000,0,Semi-Urban,Tuesday,153737,No,Active
TXN00205,ATM_MUM_004,Mumbai,11-04-2024 14:29,Cash Withdrawal,10000,0,Rural,Thursday,123888,No,Down
TXN00206,ATM_KOL_013,Kolkata,31-05-2024 01:42,Fund Transfer,500,0,Urban,Friday,406049,No,Active
TXN00207,ATM_DEL_015,Delhi,12-12-2024 23:08,PIN Change,20000,0,Urban,Thursday,59944,Yes,Active
TXN00208,ATM_BAN_004,Bangalore,08-03-2024 19:32,PIN Change,500,51,Semi-Urban,Friday,400298,No,Active
TXN00209,ATM_PUN_001,Pune,23-04-2025 22:31,Mini Statement,500,0,Urban,Wednesday,83915,Yes,Down
TXN00210,ATM_CHE_008,Chennai,18-06-2024 10:49,Balance Inquiry,20000,0,Rural,Tuesday,207999,No,Active
TXN00211,ATM_CHE_009,Chennai,06-02-2025 15:00,Balance Inquiry,10000,0,Semi-Urban,Thursday,376441,No,Active
TXN00212,ATM_KOL_009,Kolkata,21-10-2024 15:49,Balance Inquiry,15000,0,Urban,Monday,224371,No,Active
TXN00213,ATM_BAN_011,Bangalore,05-04-2025 13:19,Cash Deposit,500,0,Rural,Saturday,172543,No,Active
TXN00214,ATM_KOL_005,Kolkata,14-11-2024 00:31,Mini Statement,10000,0,Semi-Urban,Thursday,329301,No,Active
TXN00215,ATM_PUN_006,Pune,23-03-2025 10:32,Mini Statement,10000,0,Rural,Sunday,129179,No,Active
TXN00216,ATM_KOL_005,Kolkata,14-08-2024 06:28,PIN Change,500,0,Rural,Wednesday,86899,Yes,Active
